Customer_ID,Monthly_Charge,Data_Usage_GB,Call_Usage_Minutes,Customer_Satisfaction_Score,Contract_Length_Months,Number_of_Complaints,Device_Type,Churn_Status,International_Call_Minutes,Roaming_Usage_Minutes,Add_on_Services_Opted
CUST_1,49.963209507789,22.587628239668867,335.53511536231537,3,36,0,Smartphone,Yes,38.62416086271392,50.48748150953071,1
CUST_2,96.05714451279329,56.48059000094403,322.2809191647998,9,12,1,Feature Phone,Yes,167.10204189393858,88.71065125186705,2
CUST_3,78.5595153449124,87.92985440825879,915.629122468933,5,24,1,Feature Phone,Yes,268.1918005273288,35.81447811958055,1
CUST_4,67.89267873576293,74.56136420890832,324.59157986455546,8,24,1,Feature Phone,Yes,292.3048369572092,37.86423834040941,2
CUST_5,32.48149123539492,81.62330904683772,344.7547535157679,7,36,1,Tablet,No,13.878575201999988,41.81306829709312,0
CUST_6,32.47956162689621,67.58441983751814,783.4584361761673,8,12,0,Tablet,Yes,106.73222526019805,54.662564594324614,1
CUST_7,24.64668897345596,70.76627362919598,504.765858205486,7,24,1,Feature Phone,Yes,63.86827639799804,55.3490270198824,1
CUST_8,89.29409166199481,85.67358689870534,799.0395012596631,3,36,1,Feature Phone,Yes,226.78975467937443,49.639892167708425,3
CUST_9,68.0892009394567,28.718460841622665,158.82954180794673,2,12,1,Smartphone,Yes,192.0581605611096,30.600097358316745,1
CUST_10,76.64580622368364,51.49537154609835,538.8140743060459,7,12,1,Smartphone,No,35.96640944515362,92.7206464790831,4
CUST_11,21.646759543664196,26.01489697286221,130.25224016495437,3,24,0,Smartphone,Yes,145.05662020949146,58.85860973492542,2
CUST_12,97.59278817295954,98.82846075968146,156.3878831098191,3,24,2,Tablet,No,205.6321567113874,40.773921619159495,0
CUST_13,86.59541126403374,94.68563727022826,915.7937080099698,2,12,0,Feature Phone,No,233.7016181772113,65.11769607436182,4
CUST_14,36.987128854262096,8.74554708000806,225.32083400583565,4,12,0,Tablet,No,6.0158129352025576,76.79667578098052,4
CUST_15,34.54599737656805,72.0296413889904,579.1786140476954,8,24,0,Feature Phone,Yes,267.14087219516693,96.07280882282431,4
CUST_16,34.6723607882747,92.89859015448825,469.9860423406359,1,12,0,Smartphone,Yes,170.78441488515733,49.954916226758264,4
CUST_17,44.33937943676302,22.154657787096685,412.6089936329584,1,24,1,Smartphone,Yes,243.57273448797142,11.209851035075879,0
CUST_18,61.98051453057903,58.9547969024998,909.8500111185452,5,12,0,Smartphone,No,242.38140900428502,44.076580143654134,3
CUST_19,54.55560149136926,91.97138827086397,119.64105709794055,5,24,1,Smartphone,No,56.955798081290745,47.897056145347136,1
CUST_20,43.298331215843355,8.22486796565089,697.4107175580302,1,36,0,Feature Phone,No,33.05163607608993,89.6994078185674,4
CUST_21,68.94823157779035,71.25492538844979,967.0549907921953,6,24,0,Smartphone,No,216.386180692148,39.48007684629531,1
CUST_22,31.15950885216335,33.248155700392324,604.1513651156578,1,24,1,Feature Phone,Yes,46.92807564648572,95.33242648871384,1
CUST_23,43.37157188281745,92.81763856077039,943.1402158297826,5,36,1,Feature Phone,Yes,254.98124742141712,48.51319077143348,4
CUST_24,49.308947463495336,97.25053329070994,147.0320913574214,9,12,1,Tablet,Yes,217.85684515863153,97.37805009789288,3
CUST_25,56.48559873736288,94.70531646577622,476.91398716674524,5,36,2,Smartphone,No,252.54760930957877,0.8198321130962194,1
CUST_26,82.81407691144109,50.05035058245906,334.14201186584603,6,24,0,Smartphone,No,89.70380388280383,89.88153748063466,2
CUST_27,35.97390257266878,86.89405184398477,757.7388684826568,8,12,0,Tablet,Yes,94.97941812317072,93.11204519433507,1
CUST_28,61.13875507308893,85.23219286083169,983.167381447522,1,36,0,Feature Phone,Yes,201.3664669038953,96.10209357652133,4
CUST_29,67.39316550896339,35.31454495810928,330.877056199823,2,12,0,Smartphone,No,9.433786517684261,1.3076534174614851,0
CUST_30,23.71603301759982,83.74697004431435,688.757141326667,9,12,0,Feature Phone,Yes,217.9490239012268,17.1700836550309,1
CUST_31,68.60358815211507,8.515725297971798,278.28786948376614,3,36,1,Tablet,Yes,250.73492125638037,65.37645030932362,3
CUST_32,33.64192989498332,61.64563845579504,608.7972291144489,6,12,1,Feature Phone,No,124.54907598123121,2.5472691735107134,2
CUST_33,25.20412743882236,26.85083954233179,517.5392380195026,5,36,1,Smartphone,No,229.4636490265406,6.360899617650073,2
CUST_34,95.91084298026666,16.453854148841486,974.8047966683833,2,24,1,Feature Phone,No,52.38327509467858,22.10788736934419,0
CUST_35,97.25056264596475,12.31055415477487,647.6745454268199,7,12,3,Feature Phone,Yes,96.6781181458454,51.24397687438842,0
