Campaign_ID,Customer_ID,Campaign_Type,Response,Revenue_Impact
1948,1,SMS,Positive,486.2375756683643
1234,2,App Notification,Negative,466.77292534973026
1627,3,App Notification,Positive,67.5539462504835
1296,4,SMS,Negative,288.1340370441231
1915,5,Social Media,Negative,370.748285964323
1423,6,Email,Positive,324.4382746009283
1572,7,App Notification,Negative,209.02398707222713
1972,8,Social Media,Positive,411.4738642650249
1545,9,SMS,Negative,326.6362243695237
1274,10,App Notification,Positive,157.5186372454968
1172,11,Email,Positive,325.05472286301364
1602,12,App Notification,Positive,173.6020765645982
1028,13,App Notification,Positive,318.1324317665777
1530,14,App Notification,Positive,393.9432852814134
1746,15,Email,Positive,186.14482212639808
1183,16,Email,Negative,177.13479155867452
1538,17,Social Media,Positive,377.01610930215367
1641,18,Social Media,Negative,278.7665217965594
1423,19,App Notification,Negative,112.46026116413273
1614,20,Social Media,Positive,295.56293988060224
1448,21,SMS,Positive,348.4440748350507
1077,22,Email,Negative,271.09207752552874
1519,23,SMS,Negative,330.8725613004477
1026,24,Email,Positive,214.18445713830513
1736,25,Email,Positive,445.0162769354368
1990,26,Email,Positive,157.98399836518212
1925,27,Email,Positive,176.605375793862
1664,28,Email,Positive,398.14692539781936
1560,29,Email,Positive,76.03628780758038
1756,30,App Notification,Positive,494.32108785483115
1567,31,Email,Negative,333.05684909793416
1867,32,Social Media,Negative,413.3501893672826
1613,33,App Notification,Negative,312.7747352648465
1320,34,Social Media,Positive,403.8484825755986
1286,35,SMS,Negative,245.38982548845894
1226,36,Email,Positive,309.53411717556656
1315,37,SMS,Negative,347.8660060573407
1212,38,Social Media,Negative,455.86783048664574
1673,39,App Notification,Positive,65.64765905247339
1656,40,SMS,Negative,99.00954491100529
1072,41,SMS,Positive,360.79075401266437
1028,42,Email,Positive,204.96309456985824
1199,43,SMS,Positive,354.9789432569469
1722,44,SMS,Negative,152.48186420163606
1494,45,SMS,Negative,332.71656827583286
1645,46,Social Media,Negative,265.15183189473726
1343,47,Email,Negative,105.31332062298961
1125,48,Email,Negative,468.2422015104957
1517,49,Email,Positive,406.48911526581406
1103,50,App Notification,Positive,401.483716372424
1642,51,Email,Negative,363.61628157573057
1094,52,Social Media,Positive,59.60671276274456
1158,53,Email,Positive,277.08003413494123
1587,54,SMS,Negative,387.93228581656024
1691,55,Social Media,Positive,147.53705756970606
1135,56,SMS,Positive,326.86827929958486
1234,57,Social Media,Negative,468.26729046376215
1601,58,Email,Positive,388.8193139021226
1762,59,App Notification,Positive,296.4375907350994
1281,60,Email,Positive,189.46593704161145
1398,61,Social Media,Negative,336.4422902122323
1460,62,Email,Positive,371.48170105003004
1183,63,Social Media,Negative,336.99655058488213
1597,64,Email,Negative,389.93842033144665
1121,65,Social Media,Negative,175.66124697239462
1894,66,App Notification,Negative,278.5150048520557
1317,67,Email,Negative,296.9022169363915
1140,68,Email,Positive,90.44825190209288
1557,69,Social Media,Negative,129.44499562087168
1181,70,SMS,Positive,187.98018451577337
1776,71,Email,Positive,71.4902605891596
1343,72,App Notification,Negative,155.12158247410437
1258,73,Social Media,Positive,284.9705006474937
1918,74,Email,Positive,293.7852184222535
1011,75,Email,Negative,162.24222580543235
1552,76,SMS,Positive,475.9196987843234
1427,77,App Notification,Positive,260.22494948012854
1697,78,Social Media,Negative,336.77432591768695
1522,79,SMS,Positive,63.663074336615594
1658,80,Email,Negative,229.63196441378014
1442,81,Social Media,Positive,293.9487627750988
1072,82,SMS,Negative,190.51443851732418
1164,83,App Notification,Positive,127.11739546410948
1137,84,App Notification,Positive,140.5159255182221
1328,85,App Notification,Positive,259.9475437087103
1032,86,Social Media,Negative,81.95720978765138
1716,87,Email,Positive,155.50743767272192
1147,88,Email,Negative,373.7924994339259
1939,89,SMS,Positive,146.63306728710006
1330,90,Email,Negative,102.62071173787649
1744,91,App Notification,Positive,87.69251780754287
1348,92,App Notification,Positive,494.92771064908635
1622,93,App Notification,Negative,89.08824941991574
1636,94,Social Media,Negative,245.07431285327647
1635,95,Email,Negative,279.9824811765727
1268,96,App Notification,Positive,484.0591729186286
1123,97,SMS,Negative,450.99465988158363
1747,98,Email,Positive,156.95544602634607
1830,99,SMS,Negative,88.11553364358238
1653,100,SMS,Positive,247.06719019796398
1712,101,App Notification,Positive,95.41152393117127
1053,102,App Notification,Negative,441.9974747234606
1425,103,App Notification,Positive,366.69871867199436
1933,104,SMS,Negative,474.7039059226494
1082,105,SMS,Negative,306.25342011480905
1617,106,App Notification,Negative,213.99122511545238
1622,107,Social Media,Positive,275.29141699864783
1372,108,SMS,Negative,122.34969399662558
1509,109,App Notification,Positive,258.3784742025497
1839,110,App Notification,Negative,499.4184755049546
1849,111,Social Media,Positive,360.7277703232766
1225,112,App Notification,Positive,78.06044959504062
1291,113,App Notification,Positive,376.55032989373365
1008,114,Social Media,Negative,95.29732603938862
1719,115,Social Media,Negative,225.7900590122345
1772,116,Email,Negative,403.8126136523061
1754,117,SMS,Positive,107.64044794542522
1654,118,SMS,Positive,181.73452447807333
1919,119,Email,Positive,137.8680025598464
1510,120,SMS,Positive,441.5431144937189
1063,121,Email,Negative,116.56243672142763
1494,122,SMS,Positive,291.1033542618229
1047,123,App Notification,Positive,173.89170067043057
1938,124,Social Media,Negative,278.26597471132493
1166,125,Social Media,Negative,125.31383624962139
1664,126,Social Media,Negative,390.9094077796094
1719,127,SMS,Positive,339.4001470420173
1341,128,App Notification,Positive,69.54180887102004
1369,129,Social Media,Positive,476.40433783160256
1719,130,Email,Negative,451.8381121713252
1224,131,SMS,Positive,183.9999681748586
1900,132,SMS,Positive,181.34618611062547
1443,133,App Notification,Positive,274.6300000177012
1374,134,SMS,Negative,328.603595022878
1262,135,Social Media,Positive,180.96617092002091
1145,136,Social Media,Positive,407.90874573496967
1127,137,Email,Positive,85.32288340480235
1773,138,Email,Positive,229.02621086776088
1624,139,SMS,Positive,300.11410756943707
1267,140,Email,Positive,409.8568914614029
1363,141,SMS,Negative,442.31778223241747
1672,142,Social Media,Negative,159.9831631826262
1481,143,App Notification,Negative,158.47890475187717
1788,144,Social Media,Positive,215.719003059147
1697,145,SMS,Negative,242.40000911603875
1209,146,Social Media,Positive,431.7814496879759
1973,147,Social Media,Negative,53.40701625592095
1553,148,App Notification,Negative,358.2320309466147
1221,149,Social Media,Positive,149.0264561392246
1301,150,SMS,Positive,447.0809073040455
1258,151,Email,Negative,192.80640763307215
1952,152,App Notification,Negative,291.90022333201983
1052,153,SMS,Positive,198.06594888280412
1061,154,SMS,Positive,241.3765957252205
1908,155,Social Media,Negative,285.0039209385885
1818,156,App Notification,Negative,386.39181554087315
1484,157,App Notification,Negative,104.34046049129523
1402,158,Social Media,Negative,208.5021332424192
1442,159,Email,Negative,337.8366773759933
1317,160,App Notification,Negative,314.96001888090007
1420,161,SMS,Negative,401.37370730911096
1716,162,Email,Positive,450.08345093557045
1398,163,App Notification,Negative,92.33309585782868
1089,164,Email,Negative,371.22874424679793
1581,165,SMS,Positive,177.8027667600826
1602,166,Email,Positive,266.62408429565187
1779,167,App Notification,Negative,332.49819201356075
1495,168,App Notification,Positive,117.77459900911566
1344,169,SMS,Positive,205.9653263001031
1433,170,SMS,Negative,489.2370684056746
1558,171,Email,Positive,111.33367450868977
1527,172,Email,Positive,87.49975312626987
1365,173,SMS,Negative,426.5592311478128
1399,174,App Notification,Positive,243.78586035286625
1194,175,Social Media,Positive,353.6562139025539
